,id,category,original_text,simple_text,source,collector,preprocessing_text
0,1,식사,"규칙적인 식사와 고른 영양섭취, 충분한 야채, 과일 및 단백질 섭취는 치료 전후 회복에 도움이 됩니다.","밥은 매일 잘 먹고, 채소랑 과일이랑 고기도 골고루 먹으면 좋아요.",https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,규칙 식사 고르 영양 섭취 충분 야채 과일 및 단백질 섭취 치료 전후 회복 도움
1,2,운동,퇴원 후 집안에서 생활하는 데는 지장이 없습니다.,병원에서 집에 온 뒤에도 집에서 잘 지낼 수 있어요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,퇴원 후 집안 생활 데 지장
2,3,운동,2주 정도는 배에 힘이 들어가는 무리한 운동을 삼가십시오.,배에 힘이 많이 들어가는 놀이는 2주 동안 하지 마세요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,주 정도 배 힘 들어가 무리 운동 삼가 시
3,4,목욕 및 샤워,실밥제거 후에는 다음 날부터 가벼운 샤워를 시작해도 됩니다.,꿰맨 실을 빼고 나면 다음 날 씻어도 괜찮아요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,실밥 제거 후 다음 날 가볍 샤워 시작 어도
4,5,목욕 및 샤워,상처부위의 때를 밀거나 문질러 닦는 것은 상처가 완전히 아문 다음 시작하십시오.,다 나을 때까지 아픈 데를 밀거나 세게 닦지 마세요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,상처 부위 밀 거나 문지르 닦 상처 완전히 아물 다음 시작 시
5,6,상처 관리,실밥은 보통 수술 1주일 경에 제거하며 때에 따라 실밥제거의 시기가 늦어질 수도 있습니다.,실은 수술하고 보통 일주일쯤 뒤에 빼요. 가끔은 좀 더 늦게 빼요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,실밥 보통 수술 주일 경 제거 실밥 제거 시기 늦 있
6,7,상처 관리,실밥제거 후 수술부위에 특별한 문제가 없다면 더 이상의 상처소독이 필요 없습니다.,실을 빼고 아픈 데가 괜찮으면 닦지 않아도 괜찮아요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,실밥 제거 후 수술 부위 특별 문제 다면 이상 상처 소독 필요
7,8,통증 관리,상처부위에 당기는 통증은 정상적입니다.,아픈 데가 당기거나 욱신거리는 느낌이 있어도 괜찮아요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,상처 부위 당기 통증 정상
8,9,통증 관리,수술 후 대부분의 통증은 점차 호전됩니다.,아픈 느낌은 시간이 지나면 나아져요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,수술 후 대부분 통증 점차 호전
9,10,일상생활,"청소, 세탁, 요리 등 가벼운 가사활동은 가능합니다.","청소나 빨래, 밥하기 같은 쉬운 집안일은 해도 괜찮아요.",https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,청소 세탁 요리 가볍 가사 활동 가능
10,11,일상생활,사회활동 및 직장복귀는 가능합니다.,밖에 나가서 사람들 만나거나 일하러 가도 괜찮아요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,사회 활동 및 직장 복귀 가능
11,12,일상생활,일상생활은 가능합니다.,평소처럼 지내도 괜찮아요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,일상생활 가능
12,13,일상생활,반대측 고환이 다치지 않도록 항상 조심해야 합니다.,다른 쪽 고환이 다치지 않게 조심해요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,반대 측 고환 다치 도록 항상 조심
13,14,일상생활,"운전, 여행 및 비행기 탑승은 가능합니다.",차 타거나 놀러 가도 괜찮아요.,https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,운전 여행 및 비행기 탑승 가능
14,15,병원 방문,"음낭이 지속적으로 붓거나 갑작스러운 수술부위 통증, 급성 고열, 혈뇨 등의 증상이 있으면 비뇨기과 의사와 상담하거나 급한 경우가까운 병원이나 응급실을 방문하십시오.","음낭이 계속 붓거나, 아픈 데가 갑자기 아프고, 열이 많이 나거나, 오줌에 피가 보이면 바로 병원에 가요.",https://www.snuh.org/board/B016/view.do?bbs_no=3583,김하영,음낭 지속 붓 거나 갑작스럽 수술 부위 통증 급성 고열 혈뇨 증상 으면 비뇨기과 의사 상담 거나 급하 경우 가깝 병원 이나 응급실 방문 시
15,16,식사,가리는 것 없이 골고루 드십시오.,먹는 건 가리지 말고 골고루 먹어요.,https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,가리 없이 골고루 들 시
16,17,식사,"골다공증 예방을 위해 칼슘이 많이 함유된 음식을 드십시오(우유, 요플레, 치즈, 멸치, 뼈째 먹는 생선, 김, 미역, 다시마,두유, 두부등).","뼈를 튼튼하게 하려면 멸치, 우유, 두부 같은 걸 자주 먹어요.",https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,골다공증 예방 칼슘 많이 함유 음식 들 시 ᆸ시오 우유 요플레 치즈 멸치 뼈 째 먹 생선 김 미역 다시마 두유 두부
17,18,식사,고지혈증 예방과 상처 회복을 위해 기름기 없는 살코기를 드십시오.,기름기 없는 고기를 먹으면 아픈 데가 더 빨리 나아요.,https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,고지혈증 예방 상처 회복 기름 기 살코기 들 시
18,19,식사,"폐경 증상 완화를 위해 식물성 에스트로겐이 함유된 식품을 드십시오(콩 제품,두유, 연두부, 순두부,된장, 녹확생 콩, 해바라기 씨등).","콩, 두부, 된장 같은 것도 몸에 좋아요.",https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,폐경 증상 완화 식물 에스트로겐 함유 식품 드시 ᆸ시오 콩 제품 두유 연두부 순두부 된장 녹 확 생 콩 해바라기 씨
19,20,식사,"철분이 많이 함유된 음식(간, 소라, 굴, 바지락, 멸치, 장어, 고등어, 파슬리, 시금치, 호박, 당근, 감자, 미역, 다시마, 김등)과 함께 신선한 채소와 과일을 드십시오.","간, 김, 미역, 당근 같은 것도 채소랑 같이 먹으면 더 좋아요.",https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,철분 많이 함유 음식 간 소라 굴 바지락 멸치 장어 고등어 파슬리 시금치 호박 당근 감자 미역 다시마 김 함께 신선 채소 과일 들 시
20,21,운동,1회 30분 이내로 하루 4회 이상 평지를 걷는 산책을 하시고 활동량을 조금씩 늘리십시오.,"하루에 4번, 한 번에 30분 정도 걷는 게 좋아요.",https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,회 분 이내 하루 회 이상 평지 걷 산책 시 활동량 조금 씩 늘리 시
21,22,운동,퇴원 후 6~8주의 휴식기가 필요합니다.,병원에서 나온 뒤엔 6주쯤 푹 쉬어요.,https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,퇴원 후 주의 휴식기 필요
22,23,운동,다리 부종을 예방하기 위해 잠자거나 쉬고 있을 때는 다리를 올려놓으십시오.,다리가 붓지 않게 자거나 쉴 때 다리를 베개 위에 올려놔요.,https://www.snuh.org/board/B016/view.do?bbs_no=3584,김하영,다리 부종 예방 잠자 거나 쉬 다리 올리 놓 으시
